date,source,category,company,grade,price,change,action,title,url,crawled_at
2026-03-20,스틸데일리,국내,동국제강(포항),생철,,10000.0,특구,"동국제강 포항, 철 스크랩 전등급 특구",https://www.steeldaily.co.kr/news/articleView.html?idxno=199018,2026-04-14T13:44:06.346914
2026-03-20,스틸데일리,국내,동국제강(포항),중량,,10000.0,특구,"동국제강 포항, 철 스크랩 전등급 특구",https://www.steeldaily.co.kr/news/articleView.html?idxno=199018,2026-04-14T13:44:06.346914
2026-03-20,스틸데일리,국내,동국제강(포항),경량,,10000.0,특구,"동국제강 포항, 철 스크랩 전등급 특구",https://www.steeldaily.co.kr/news/articleView.html?idxno=199018,2026-04-14T13:44:06.346914
2026-03-20,스틸데일리,국내,동국제강(포항),선반,,10000.0,특구,"동국제강 포항, 철 스크랩 전등급 특구",https://www.steeldaily.co.kr/news/articleView.html?idxno=199018,2026-04-14T13:44:06.346914
2026-03-19,스틸데일리,수입,동경제철(일본),,,,인상,"도쿄스틸, 전공장 스크랩 구매가격 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=198996,2026-04-14T13:44:04.920433
2026-03-18,스틸데일리,수입,동경제철(일본),,,,인상,"도쿄스틸, 간토 거점 500엔 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=198957,2026-04-14T13:44:04.920433
2026-03-09,스틸데일리,국내,현대제철(인천),중량,450000.0,5000.0,인상,"현대제철, ""B등급 가격 A수준으로 올려""",https://www.steeldaily.co.kr/news/articleView.html?idxno=198932,2026-04-14T13:44:06.816981
2026-03-09,스틸데일리,국내,현대제철(당진),중량,450000.0,5000.0,인상,"현대제철, ""B등급 가격 A수준으로 올려""",https://www.steeldaily.co.kr/news/articleView.html?idxno=198932,2026-04-14T13:44:06.816981
2026-03-09,스틸데일리,국내,현대제철(포항),중량,450000.0,5000.0,인상,"현대제철, ""B등급 가격 A수준으로 올려""",https://www.steeldaily.co.kr/news/articleView.html?idxno=198932,2026-04-14T13:44:06.816981
2026-03-17,스틸데일리,수입,동경제철(일본),,,,상승,"日 도쿄스틸, 일본 철 스크랩 추가 상승 예상",https://www.steeldaily.co.kr/news/articleView.html?idxno=198929,2026-04-14T13:44:04.920433
2026-03-17,스틸데일리,국내,현대제철(인천),,,,인하,"현대제철, 철 스크랩 가격 인하 소문에 '술렁'",https://www.steeldaily.co.kr/news/articleView.html?idxno=198927,2026-04-14T13:44:04.920433
2026-03-17,스틸데일리,국내,현대제철(당진),,,,인하,"현대제철, 철 스크랩 가격 인하 소문에 '술렁'",https://www.steeldaily.co.kr/news/articleView.html?idxno=198927,2026-04-14T13:44:04.920433
2026-03-17,스틸데일리,국내,현대제철(포항),,,,인하,"현대제철, 철 스크랩 가격 인하 소문에 '술렁'",https://www.steeldaily.co.kr/news/articleView.html?idxno=198927,2026-04-14T13:44:04.920433
2026-03-11,스틸데일리,수입,동경제철(일본),,,,인상,"도쿄스틸, 스크랩 2천엔 인상",https://www.steeldaily.co.kr/news/articleView.html?idxno=198812,2026-04-14T13:44:04.920433
